Date,Start Time,Screen,# of Tickets Sold,# of Seats,Occupancy Rate
2026-04-15,1430,월드타워 3관,158,158,100.00%
2026-04-15,1610,월드타워 3관,114,158,72.15%
2026-04-15,1750,월드타워 3관,46,158,29.11%
2026-04-15,1930,월드타워 3관,71,158,44.94%
2026-04-15,2110,월드타워 3관,47,158,29.75%
2026-04-16,0930,월드타워 3관,7,158,4.43%
2026-04-16,1110,월드타워 3관,14,158,8.86%
2026-04-16,1250,월드타워 3관,14,158,8.86%
2026-04-16,1430,월드타워 3관,28,158,17.72%
2026-04-16,1610,월드타워 3관,18,158,11.39%
2026-04-16,1750,월드타워 3관,9,158,5.70%
2026-04-16,1930,월드타워 3관,33,158,20.89%
2026-04-16,2110,월드타워 3관,4,158,2.53%
2026-04-17,0930,월드타워 3관,7,158,4.43%
2026-04-17,1110,월드타워 3관,7,158,4.43%
2026-04-17,1250,월드타워 3관,20,158,12.66%
2026-04-17,1430,월드타워 3관,29,158,18.35%
2026-04-17,1610,월드타워 3관,21,158,13.29%
2026-04-17,1750,월드타워 3관,26,158,16.46%
2026-04-17,1930,월드타워 3관,31,158,19.62%
2026-04-17,2110,월드타워 3관,14,158,8.86%
2026-04-18,0930,월드타워 3관,15,158,9.49%
2026-04-18,1110,월드타워 3관,45,158,28.48%
2026-04-18,1250,월드타워 3관,34,158,21.52%
2026-04-18,1430,월드타워 3관,87,158,55.06%
2026-04-18,1610,월드타워 3관,61,158,38.61%
2026-04-18,1750,월드타워 3관,37,158,23.42%
2026-04-18,1930,월드타워 3관,22,158,13.92%
2026-04-18,2110,월드타워 3관,19,158,12.03%
2026-04-19,0930,월드타워 3관,19,158,12.03%
2026-04-19,1110,월드타워 3관,44,158,27.85%
2026-04-19,1250,월드타워 3관,33,158,20.89%
2026-04-19,1430,월드타워 3관,43,158,27.22%
2026-04-19,1610,월드타워 3관,60,158,37.97%
2026-04-19,1750,월드타워 3관,14,158,8.86%
2026-04-19,1930,월드타워 3관,12,158,7.59%
2026-04-19,2110,월드타워 3관,4,158,2.53%
2026-04-20,0930,월드타워 3관,0,158,0.00%
2026-04-20,1110,월드타워 3관,7,158,4.43%
2026-04-20,1250,월드타워 3관,5,158,3.16%
2026-04-20,1430,월드타워 3관,3,158,1.90%
2026-04-20,1610,월드타워 3관,9,158,5.70%
2026-04-20,1750,월드타워 3관,8,158,5.06%
2026-04-20,1930,월드타워 3관,11,158,6.96%
2026-04-20,2110,월드타워 3관,0,158,0.00%
2026-04-21,0930,월드타워 3관,3,158,1.90%
2026-04-21,1110,월드타워 3관,1,158,0.63%
2026-04-21,1250,월드타워 3관,3,158,1.90%
2026-04-21,1430,월드타워 3관,27,158,17.09%
2026-04-21,1610,월드타워 3관,158,158,100.00%
2026-04-21,1750,월드타워 3관,158,158,100.00%
2026-04-21,1930,월드타워 3관,15,158,9.49%
2026-04-21,2110,월드타워 3관,0,158,0.00%
2026-04-22,0930,월드타워 3관,1,158,0.63%
2026-04-22,1110,월드타워 3관,5,158,3.16%
2026-04-22,1250,월드타워 3관,1,158,0.63%
2026-04-22,1430,월드타워 3관,6,158,3.80%
2026-04-22,1610,월드타워 3관,0,158,0.00%
2026-04-22,1750,월드타워 3관,0,158,0.00%
2026-04-22,1930,월드타워 3관,4,158,2.53%
2026-04-22,2110,월드타워 3관,3,158,1.90%
2026-04-23,0930,월드타워 3관,0,158,0.00%
2026-04-23,1110,월드타워 3관,0,158,0.00%
